Layer,Tile,Precision,Sparsity_Gain,Total_Efficiency
Conv1,8,FP32,19.99,19.99
Conv1,8,INT16,19.99,39.97
Conv1,8,INT8,19.99,39.97
Conv1,16,FP32,37.51,37.51
Conv1,16,INT16,37.51,75.02
Conv1,16,INT8,37.51,75.02
Conv1,32,FP32,46.05,46.05
Conv1,32,INT16,46.05,92.09
Conv1,32,INT8,46.05,92.09
Conv2,8,FP32,12.86,12.86
Conv2,8,INT16,12.86,25.71
Conv2,8,INT8,12.86,25.71
Conv2,16,FP32,7.4,7.4
Conv2,16,INT16,7.4,14.79
Conv2,16,INT8,7.4,14.79
Conv2,32,FP32,1.88,1.88
Conv2,32,INT16,1.88,3.75
Conv2,32,INT8,1.88,3.75
Conv3,8,FP32,11.12,11.12
Conv3,8,INT16,11.12,22.24
Conv3,8,INT8,11.12,22.24
Conv3,16,FP32,2.92,2.92
Conv3,16,INT16,2.92,5.85
Conv3,16,INT8,2.92,5.85
Conv3,32,FP32,1.29,1.29
Conv3,32,INT16,1.29,2.59
Conv3,32,INT8,1.29,2.59
Conv5,8,FP32,21.36,21.36
Conv5,8,INT16,21.36,42.73
Conv5,8,INT8,21.36,42.73
Conv5,16,FP32,30.74,30.74
Conv5,16,INT16,30.74,61.48
Conv5,16,INT8,30.74,61.48
Conv5,32,FP32,24.03,24.03
Conv5,32,INT16,24.03,48.05
Conv5,32,INT8,24.03,48.05
