model,layer,layer_idx,tile,orig_m,orig_n,orig_k,m,n,k,config,sa_size,sparsity,orig_macs,eff_macs,mac_reduction,cycles,cpu_us,match,npu_us
alexnet,__module.features.10/aten::_convolution/Convolution,0,1,32,32,32,32,19,18,0,32,0.5518,65536,21888,0.666,67,41.1,TRUE,0.957142857
alexnet,__module.features.10/aten::_convolution/Convolution,0,2,32,32,32,32,17,18,0,32,0.5693,65536,19584,0.7012,65,105.9,TRUE,0.928571429
alexnet,__module.features.10/aten::_convolution/Convolution,0,3,32,32,32,32,12,18,0,32,0.6133,65536,13824,0.7891,60,83.8,TRUE,0.857142857
alexnet,__module.features.10/aten::_convolution/Convolution,0,4,32,32,32,32,17,18,0,32,0.5693,65536,19584,0.7012,65,39.8,TRUE,0.928571429
alexnet,__module.features.10/aten::_convolution/Convolution,0,5,32,32,32,32,21,18,0,32,0.5342,65536,24192,0.6309,69,63.1,TRUE,0.985714286
alexnet,__module.features.10/aten::_convolution/Convolution,0,6,32,32,32,32,20,18,0,32,0.543,65536,23040,0.6484,68,38.3,TRUE,0.971428571
alexnet,__module.features.10/aten::_convolution/Convolution,0,7,32,32,32,32,21,18,0,32,0.5342,65536,24192,0.6309,69,50,TRUE,0.985714286
alexnet,__module.features.10/aten::_convolution/Convolution,0,8,32,32,32,32,14,18,0,32,0.5957,65536,16128,0.7539,62,40.7,TRUE,0.885714286
alexnet,__module.features.10/aten::_convolution/Convolution,0,9,32,32,32,32,19,18,0,32,0.5518,65536,21888,0.666,67,53.6,TRUE,0.957142857
alexnet,__module.features.10/aten::_convolution/Convolution,0,10,32,32,32,32,17,18,0,32,0.5693,65536,19584,0.7012,65,87.7,TRUE,0.928571429
alexnet,__module.features.10/aten::_convolution/Convolution,0,11,32,32,32,32,12,18,0,32,0.6133,65536,13824,0.7891,60,39.4,TRUE,0.857142857
alexnet,__module.features.10/aten::_convolution/Convolution,0,12,32,32,32,32,17,18,0,32,0.5693,65536,19584,0.7012,65,39,TRUE,0.928571429
alexnet,__module.features.10/aten::_convolution/Convolution,0,13,32,32,32,32,21,18,0,32,0.5342,65536,24192,0.6309,69,50.9,TRUE,0.985714286
alexnet,__module.features.10/aten::_convolution/Convolution,0,14,32,32,32,32,20,18,0,32,0.543,65536,23040,0.6484,68,69.7,TRUE,0.971428571
alexnet,__module.features.10/aten::_convolution/Convolution,0,15,32,32,32,32,21,18,0,32,0.5342,65536,24192,0.6309,69,39.6,TRUE,0.985714286
alexnet,__module.features.10/aten::_convolution/Convolution,0,16,32,32,32,32,14,18,0,32,0.5957,65536,16128,0.7539,62,42.7,TRUE,0.885714286
alexnet,__module.features.10/aten::_convolution/Convolution,0,17,32,32,32,32,19,18,0,32,0.5518,65536,21888,0.666,67,176.4,TRUE,0.957142857
alexnet,__module.features.10/aten::_convolution/Convolution,0,18,32,32,32,32,17,18,0,32,0.5693,65536,19584,0.7012,65,56,TRUE,0.928571429
alexnet,__module.features.10/aten::_convolution/Convolution,0,19,32,32,32,32,12,18,0,32,0.6133,65536,13824,0.7891,60,94.5,TRUE,0.857142857
alexnet,__module.features.10/aten::_convolution/Convolution,0,20,32,32,32,32,17,18,0,32,0.5693,65536,19584,0.7012,65,38,TRUE,0.928571429
alexnet,__module.features.10/aten::_convolution/Convolution,0,21,32,32,32,32,21,18,0,32,0.5342,65536,24192,0.6309,69,112.8,TRUE,0.985714286
alexnet,__module.features.10/aten::_convolution/Convolution,0,22,32,32,32,32,20,18,0,32,0.543,65536,23040,0.6484,68,40,TRUE,0.971428571
alexnet,__module.features.10/aten::_convolution/Convolution,0,23,32,32,32,32,21,18,0,32,0.5342,65536,24192,0.6309,69,42.4,TRUE,0.985714286
alexnet,__module.features.10/aten::_convolution/Convolution,0,24,32,32,32,32,14,18,0,32,0.5957,65536,16128,0.7539,62,163.7,TRUE,0.885714286
alexnet,__module.features.10/aten::_convolution/Convolution,0,25,32,32,32,31,19,18,0,32,0.5605,65536,21204,0.6765,66,68.4,TRUE,0.942857143
alexnet,__module.features.10/aten::_convolution/Convolution,0,26,32,32,32,31,17,18,0,32,0.5781,65536,18972,0.7105,64,179.5,TRUE,0.914285714
alexnet,__module.features.10/aten::_convolution/Convolution,0,27,32,32,32,31,12,18,0,32,0.6221,65536,13392,0.7957,59,55.9,TRUE,0.842857143
alexnet,__module.features.10/aten::_convolution/Convolution,0,28,32,32,32,31,17,18,0,32,0.5781,65536,18972,0.7105,64,181,TRUE,0.914285714
alexnet,__module.features.10/aten::_convolution/Convolution,0,29,32,32,32,31,21,18,0,32,0.543,65536,23436,0.6424,68,39,TRUE,0.971428571
alexnet,__module.features.10/aten::_convolution/Convolution,0,30,32,32,32,31,20,18,0,32,0.5518,65536,22320,0.6594,67,39.9,TRUE,0.957142857
alexnet,__module.features.10/aten::_convolution/Convolution,0,31,32,32,32,31,21,18,0,32,0.543,65536,23436,0.6424,68,58.8,TRUE,0.971428571
alexnet,__module.features.10/aten::_convolution/Convolution,0,32,32,32,32,31,14,18,0,32,0.6045,65536,15624,0.7616,61,39.7,TRUE,0.871428571
alexnet,__module.features.10/aten::_convolution/Convolution,0,33,32,32,32,32,19,18,0,32,0.5518,65536,21888,0.666,67,39.7,TRUE,0.957142857
alexnet,__module.features.10/aten::_convolution/Convolution,0,34,32,32,32,32,17,18,0,32,0.5693,65536,19584,0.7012,65,40.5,TRUE,0.928571429
alexnet,__module.features.10/aten::_convolution/Convolution,0,35,32,32,32,32,12,18,0,32,0.6133,65536,13824,0.7891,60,55.3,TRUE,0.857142857
alexnet,__module.features.10/aten::_convolution/Convolution,0,36,32,32,32,32,17,18,0,32,0.5693,65536,19584,0.7012,65,38.5,TRUE,0.928571429
alexnet,__module.features.10/aten::_convolution/Convolution,0,37,32,32,32,32,21,18,0,32,0.5342,65536,24192,0.6309,69,40.2,TRUE,0.985714286
alexnet,__module.features.10/aten::_convolution/Convolution,0,38,32,32,32,32,20,18,0,32,0.543,65536,23040,0.6484,68,39.9,TRUE,0.971428571
alexnet,__module.features.10/aten::_convolution/Convolution,0,39,32,32,32,32,21,18,0,32,0.5342,65536,24192,0.6309,69,53.5,TRUE,0.985714286
alexnet,__module.features.10/aten::_convolution/Convolution,0,40,32,32,32,32,14,18,0,32,0.5957,65536,16128,0.7539,62,40.3,TRUE,0.885714286
alexnet,__module.features.10/aten::_convolution/Convolution,0,41,9,32,32,9,19,12,0,32,0.7439,18432,4104,0.7773,38,16.7,TRUE,0.542857143
alexnet,__module.features.10/aten::_convolution/Convolution,0,42,9,32,32,9,17,12,0,32,0.7622,18432,3672,0.8008,36,14.5,TRUE,0.514285714
alexnet,__module.features.10/aten::_convolution/Convolution,0,43,9,32,32,9,12,12,1,16,0.8079,18432,2592,0.8594,31,15.6,TRUE,0.442857143
alexnet,__module.features.10/aten::_convolution/Convolution,0,44,9,32,32,9,17,12,0,32,0.7622,18432,3672,0.8008,36,15.7,TRUE,0.514285714
alexnet,__module.features.10/aten::_convolution/Convolution,0,45,9,32,32,9,21,12,0,32,0.7256,18432,4536,0.7539,40,70.3,TRUE,0.571428571
alexnet,__module.features.10/aten::_convolution/Convolution,0,46,9,32,32,9,20,12,0,32,0.7348,18432,4320,0.7656,39,14.8,TRUE,0.557142857
alexnet,__module.features.10/aten::_convolution/Convolution,0,47,9,32,32,9,21,12,0,32,0.7256,18432,4536,0.7539,40,64.4,TRUE,0.571428571
alexnet,__module.features.10/aten::_convolution/Convolution,0,48,9,32,32,9,14,12,1,16,0.7896,18432,3024,0.8359,33,28,TRUE,0.471428571
alexnet,__module.features.8/aten::_convolution/Convolution,1,1,32,32,32,31,23,18,0,32,0.5254,65536,25668,0.6083,70,41.6,TRUE,1
alexnet,__module.features.8/aten::_convolution/Convolution,1,2,32,32,32,31,19,18,0,32,0.5605,65536,21204,0.6765,66,41,TRUE,0.942857143
alexnet,__module.features.8/aten::_convolution/Convolution,1,3,32,32,32,31,17,18,0,32,0.5781,65536,18972,0.7105,64,43.6,TRUE,0.914285714
alexnet,__module.features.8/aten::_convolution/Convolution,1,4,32,32,32,31,13,18,0,32,0.6133,65536,14508,0.7786,60,85.4,TRUE,0.857142857
alexnet,__module.features.8/aten::_convolution/Convolution,1,5,32,32,32,31,21,18,0,32,0.543,65536,23436,0.6424,68,90.9,TRUE,0.971428571
alexnet,__module.features.8/aten::_convolution/Convolution,1,6,32,32,32,31,17,18,0,32,0.5781,65536,18972,0.7105,64,42.2,TRUE,0.914285714
alexnet,__module.features.8/aten::_convolution/Convolution,1,7,32,32,32,31,18,18,0,32,0.5693,65536,20088,0.6935,65,112.2,TRUE,0.928571429
alexnet,__module.features.8/aten::_convolution/Convolution,1,8,32,32,32,31,13,18,0,32,0.6133,65536,14508,0.7786,60,127,TRUE,0.857142857
alexnet,__module.features.8/aten::_convolution/Convolution,1,9,32,32,32,24,23,18,0,32,0.5869,65536,19872,0.6968,63,76.6,TRUE,0.9
alexnet,__module.features.8/aten::_convolution/Convolution,1,10,32,32,32,24,19,18,0,32,0.6221,65536,16416,0.7495,59,43.8,TRUE,0.842857143
alexnet,__module.features.8/aten::_convolution/Convolution,1,11,32,32,32,24,17,18,0,32,0.6396,65536,14688,0.7759,57,162.6,TRUE,0.814285714
