Layer,Tile,Precision,Sparsity_Gain,Total_Efficiency
Conv1,8,FP32,20.09,20.09
Conv1,8,INT16,20.09,40.18
Conv1,8,INT8,20.09,40.18
Conv1,16,FP32,37.74,37.74
Conv1,16,INT16,37.74,75.47
Conv1,16,INT8,37.74,75.47
Conv1,32,FP32,46.75,46.75
Conv1,32,INT16,46.75,93.5
Conv1,32,INT8,46.75,93.5
Conv2,8,FP32,12.48,12.48
Conv2,8,INT16,12.48,24.96
Conv2,8,INT8,12.48,24.96
Conv2,16,FP32,6.82,6.82
Conv2,16,INT16,6.82,13.65
Conv2,16,INT8,6.82,13.65
Conv2,32,FP32,1.4,1.4
Conv2,32,INT16,1.4,2.8
Conv2,32,INT8,1.4,2.8
Conv3,8,FP32,11.06,11.06
Conv3,8,INT16,11.06,22.12
Conv3,8,INT8,11.06,22.12
Conv3,16,FP32,2.68,2.68
Conv3,16,INT16,2.68,5.36
Conv3,16,INT8,2.68,5.36
Conv3,32,FP32,1.29,1.29
Conv3,32,INT16,1.29,2.57
Conv3,32,INT8,1.29,2.57
Conv5,8,FP32,21.36,21.36
Conv5,8,INT16,21.36,42.73
Conv5,8,INT8,21.36,42.73
Conv5,16,FP32,30.28,30.28
Conv5,16,INT16,30.28,60.57
Conv5,16,INT8,30.28,60.57
Conv5,32,FP32,23.08,23.08
Conv5,32,INT16,23.08,46.16
Conv5,32,INT8,23.08,46.16
