caLayer,Tile,Precision,Sparsity_Gain,Total_Efficiency
Conv1,8,FP32,21.26,21.26
Conv1,8,INT16,21.26,42.52
Conv1,8,INT8,21.26,42.52
Conv1,16,FP32,37.87,37.87
Conv1,16,INT16,37.87,75.73
Conv1,16,INT8,37.87,75.73
Conv1,32,FP32,51.93,51.93
Conv1,32,INT16,51.93,103.85
Conv1,32,INT8,51.93,103.85
Conv2,8,FP32,14.27,14.27
Conv2,8,INT16,14.27,28.54
Conv2,8,INT8,14.27,28.54
Conv2,16,FP32,8.61,8.61
Conv2,16,INT16,8.61,17.22
Conv2,16,INT8,8.61,17.22
Conv2,32,FP32,3.14,3.14
Conv2,32,INT16,3.14,6.28
Conv2,32,INT8,3.14,6.28
Conv3,8,FP32,19.09,19.09
Conv3,8,INT16,19.09,38.18
Conv3,8,INT8,19.09,38.18
Conv3,16,FP32,2.18,2.18
Conv3,16,INT16,2.18,4.36
Conv3,16,INT8,2.18,4.36
Conv3,32,FP32,1.08,1.08
Conv3,32,INT16,1.08,2.17
Conv3,32,INT8,1.08,2.17
Conv5,8,FP32,23,23
Conv5,8,INT16,23,46
Conv5,8,INT8,23,46
Conv5,16,FP32,46.09,46.09
Conv5,16,INT16,46.09,92.18
Conv5,16,INT8,46.09,92.18
Conv5,32,FP32,21.8,21.8
Conv5,32,INT16,21.8,43.61
Conv5,32,INT8,21.8,43.61
