Layer,Tile,Precision,Sparsity_Gain,Total_Efficiency
Conv1,8,FP32,19.63,19.63
Conv1,8,INT16,19.63,39.26
Conv1,8,INT8,19.63,39.26
Conv1,16,FP32,36.71,36.71
Conv1,16,INT16,36.71,73.42
Conv1,16,INT8,36.71,73.42
Conv1,32,FP32,43.43,43.43
Conv1,32,INT16,43.43,86.86
Conv1,32,INT8,43.43,86.86
Conv2,8,FP32,12.6,12.6
Conv2,8,INT16,12.6,25.2
Conv2,8,INT8,12.6,25.2
Conv2,16,FP32,6.52,6.52
Conv2,16,INT16,6.52,13.04
Conv2,16,INT8,6.52,13.04
Conv2,32,FP32,1.15,1.15
Conv2,32,INT16,1.15,2.29
Conv2,32,INT8,1.15,2.29
Conv3,8,FP32,11.1,11.1
Conv3,8,INT16,11.1,22.2
Conv3,8,INT8,11.1,22.2
Conv3,16,FP32,2.33,2.33
Conv3,16,INT16,2.33,4.67
Conv3,16,INT8,2.33,4.67
Conv3,32,FP32,1.09,1.09
Conv3,32,INT16,1.09,2.18
Conv3,32,INT8,1.09,2.18
Conv5,8,FP32,21.32,21.32
Conv5,8,INT16,21.32,42.64
Conv5,8,INT8,21.32,42.64
Conv5,16,FP32,30.53,30.53
Conv5,16,INT16,30.53,61.07
Conv5,16,INT8,30.53,61.07
Conv5,32,FP32,22.74,22.74
Conv5,32,INT16,22.74,45.48
Conv5,32,INT8,22.74,45.48
